;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
163;40,889;56,107;16,965;21,35;Thermo Fisher Scientific;TRUE;0;29;8;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;41.5;Difficult;346;233;1015;www.thermofisher.com;30;214;244;0;0;1;0;0;28;30;36;0;95;0.077;13612481;8.5
164;61,683;32,606;16,9;17,892;American Electric Power;TRUE;0;3;0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.aep.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.1
165;63,339;29,432;16,833;16,576;"PG&amp;E Corp.";TRUE;0;22;8;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;48;Difficult;370;311;1320;www.pge.com;34;318;352;0;0;0;0;0;25;23;6;0;54;0.62;8039019;1.7
166;6,548;805;16,802;2,126;NGL Energy Partners;TRUE;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.nglenergypartners.com;1;66;67;0;0;2;0;0;6;8;0;0;16;0.159;23853;3.0
167;31,748;106,848;16,56;14,266;Bristol-Myers Squibb;TRUE;0;49;1;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;-4.9;Very Confusing;109;145;417;www.bms.com;5;182;187;0;0;0;0;0;22;6;0;0;28;0.593;3266760;41.7
168;16,439;8,813;16,443;3,92;"Goodyear Tire &amp; Rubber";TRUE;0;9;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;56.5;Fairly difficult;975;298;1807;www.goodyear.com;6;506;512;0;0;1;0;0;10;12;0;0;23;0.328;21771219;8.4
169;14,25;15,039;16,439;7,417;Nucor;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;70.9;Standard;160;115;881;www.nucor.com;2;62;64;0;0;0;0;0;1;0;0;0;1;0.51;1454691;11.7
170;358,493;42,379;16,27;44,71;PNC Financial Services Group;TRUE;0;33;3;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;46.1;Difficult;338;346;1444;www.pnc.com;29;312;341;0;0;8;0;0;12;4;4;0;28;0.071;7316628;3.7
171;6,398;not available;16,244;1,833;Health Net;TRUE;0;139;16;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.healthnet.com;5;252;257;0;0;2;0;0;10;53;0;0;65;0.41;28536;22.7
172;24,143;10,862;16,192;12,302;Micron Technology;TRUE;0;15;2;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;44.9;Difficult;276;219;1033;www.micron.com;21;220;241;0;0;1;1;1;13;40;1;0;57;0.704;4992855;1.7
